date,cases_new,tests_total,icu_covid,positivity_rate,positivity_rate_7d
2023-10-05,140,3105,1,0.04508856682769726,0.03950347567860952
2023-10-06,135,1896,1,0.07120253164556962,0.04267038372307319
2023-10-07,142,2179,1,0.06516750803120698,0.04680945203456758
2023-10-08,89,3731,2,0.023854194585901902,0.04685792962038948
2023-10-09,115,3731,2,0.030822835700884482,0.04689259675456638
2023-10-10,133,3647,2,0.036468330134357005,0.04586620492424848
2023-10-11,187,3330,0,0.056156156156156156,0.04696573186882478
2023-10-12,174,2423,0,0.07181180354931903,0.05078333711477074
2023-10-13,173,1490,5,0.11610738255033556,0.05719831581545159
2023-10-14,181,2507,1,0.07219784603111289,0.05820264981543815
2023-10-15,131,4023,1,0.03256276410638827,0.05944673117550763
2023-10-16,115,3063,2,0.037544890630101205,0.0604070247368243
2023-10-17,172,3515,5,0.048933143669985774,0.06218771238477127
2023-10-18,204,3384,2,0.06028368794326241,0.0627773597829293
2023-10-19,201,2624,3,0.07660060975609756,0.06346147495532624
2023-10-20,152,1681,4,0.09042236763831053,0.05979218711075123
2023-10-21,157,2454,5,0.06397718011409943,0.0586178062654636
2023-10-22,121,3789,3,0.0319345473739773,0.058528061017976314
2023-10-23,140,3546,3,0.03948110547095319,0.058804663138098026
2023-10-24,232,3633,5,0.06385906963941645,0.06093693827658812
2023-10-25,214,3821,4,0.056006281078251764,0.060325880153015175
2023-10-26,220,2599,3,0.08464794151596768,0.06147549897585376
2023-10-27,205,1874,3,0.10939167556029883,0.06418540010756638
2023-10-28,207,2377,4,0.08708456037021456,0.06748645442986853
2023-10-29,160,4597,5,0.03480530780944094,0.06789656306350621
2023-10-30,153,3550,1,0.043098591549295774,0.06841334678898371
2023-10-31,240,3714,2,0.06462035541195477,0.06852210189934634
2023-11-01,289,4476,4,0.06456657730116175,0.06974500135976204
2023-11-02,305,2522,3,0.12093576526566217,0.07492897618114698
2023-11-03,283,2095,4,0.1350835322195704,0.07859924141818576
2023-11-04,262,2775,4,0.09441441441441441,0.07964636342450003
2023-11-05,181,4945,5,0.03660262891809909,0.07990312358287976
2023-11-06,153,4278,6,0.03576437587657784,0.07885537848677719
2023-11-07,306,3697,0,0.08276981336218556,0.08144815819395303
2023-11-08,302,3709,2,0.08142356430304665,0.0838562991942223
2023-11-09,324,3591,3,0.09022556390977443,0.07946912757195264
2023-11-10,306,2241,2,0.13654618473895583,0.07967807793186484
2023-11-11,229,1788,3,0.12807606263982102,0.08448688482120863
2023-11-12,259,3043,5,0.08511337495892211,0.09141699139846907
